GSM,230,1,8260,20192,0,12.2101,50.1788,16265,27,1,1312446833,1752996430,0
GSM,230,2,1147,12142,0,14.152,50.1108,5221,50,1,1314075964,1733998508,0
GSM,230,1,16414,1203,0,14.2712,50.1232,1557,50,1,1314075964,1734636027,0
GSM,230,2,1147,1683,0,14.2422,50.0932,1514,50,1,1314075964,1734348973,0
GSM,230,1,16414,1202,0,14.2778,50.1195,1963,50,1,1314075964,1734636027,0
GSM,230,1,16414,2126,0,14.2249,50.1205,7419,27,1,1314075964,1771167302,0
GSM,230,1,17240,25752,0,14.2114,50.1586,2145,50,1,1314075964,1734636024,0
GSM,230,2,1153,11661,0,14.2872,50.0755,1808,36,1,1314076094,1734608289,0
GSM,230,1,18218,1929,0,14.5197,50.0186,2599,27,1,1314079876,1771509242,0
GSM,230,2,1144,21462,0,14.5382,50.0113,1042,34,1,1314079876,1765204443,0
GSM,230,2,1144,21461,0,14.5529,50.0076,2518,24,1,1314079876,1730982661,0
GSM,230,1,18218,1927,0,14.5492,50.0087,1278,27,1,1314079876,1772098801,0
GSM,230,1,18218,1447,0,14.5258,50.0158,1028,50,1,1314079876,1770908821,0
GSM,230,2,1144,21400,0,14.516,50.0181,4463,50,1,1314079876,1765204442,0
GSM,230,2,1146,1077,0,14.5837,50.0321,3823,50,1,1314079876,1773513738,0
GSM,230,1,18218,1903,0,14.5,50.027,1142,25,1,1314079876,1771509121,0
GSM,230,2,1144,2045,0,14.568,50.0042,1712,50,1,1314079876,1731412261,0
GSM,230,2,1144,2199,0,14.5591,50.0065,947,25,1,1314079876,1733122922,0
GSM,230,2,1144,31433,0,14.497,50.0253,18412,36,1,1314079876,1740554221,0
GSM,230,2,1616,16054,0,15.6242,50.1581,1370,50,1,1314095646,1751903107,0
GSM,230,2,1616,16055,0,15.65,50.1594,1817,50,1,1314095646,1751903107,0
GSM,230,2,1145,11434,0,14.433,50.0335,2607,50,1,1314099540,1765204442,0
GSM,230,1,24646,3607,0,16.6805,49.1846,860,27,1,1315216013,1772381882,0
GSM,230,1,24646,3141,0,16.6803,49.1827,891,50,1,1315216013,1772381882,0
GSM,230,2,1315,3232,0,15.3057,49.5608,2435,50,1,1315216013,1763051884,0
GSM,230,2,1315,3287,0,15.2214,49.5949,5940,50,1,1315216014,1763051885,0
GSM,230,1,8240,25587,0,12.5867,49.6681,4045,27,1,1315216145,1766475481,0
GSM,230,1,8240,29825,0,12.6683,49.6927,3681,27,1,1315216145,1775794981,0
GSM,230,1,8240,25688,0,12.5436,49.6359,13603,32,1,1315216145,1755375515,0
GSM,230,1,8240,25687,0,12.625,49.6791,4199,27,1,1315216145,1775813041,0
GSM,230,1,14438,26951,0,13.9656,50.8347,4001,27,1,1315580456,1774197185,0
GSM,230,2,1315,3204,0,15.2739,49.5757,4624,42,1,1316514997,1763051885,0
GSM,230,2,1315,3286,0,15.2554,49.585,2076,50,1,1316514997,1763051885,0
GSM,230,2,1315,3280,0,15.3919,49.5192,9529,44,1,1317290619,1763051882,0
GSM,230,2,1615,6301,0,15.6149,49.5948,2663,50,1,1317290619,1750225871,0
GSM,230,2,1829,8862,0,15.4593,49.5106,3565,27,1,1317290619,1740547022,0
GSM,230,2,1615,6394,0,15.6095,49.6582,21141,50,1,1317290619,1742220145,0
GSM,230,2,1835,9174,0,16.6919,49.1643,21926,47,1,1317308625,1750048085,0
GSM,230,2,1827,18990,0,16.0285,48.8776,8449,50,1,1318229910,1772129110,0
GSM,230,2,1147,1612,0,14.2844,50.1155,2543,35,1,1319080581,1752156427,0
GSM,230,2,1147,12356,0,14.2649,50.1271,2120,28,1,1319080581,1752156428,0
GSM,230,2,1147,1611,0,14.2676,50.1201,1832,50,1,1319080581,1752156427,0
GSM,230,2,1154,2071,0,14.266,50.05,1178,50,1,1319081382,1732026616,0
GSM,230,2,1154,2072,0,14.2575,50.0503,2555,25,1,1319081382,1755165425,0
GSM,230,2,1144,12074,0,14.5813,49.9858,6652,27,1,1319574862,1735566662,0
GSM,230,2,1145,2153,0,14.5529,49.9662,4424,50,1,1319574862,1739563261,0
GSM,230,1,18218,772,0,14.58,49.9826,7010,29,1,1319574862,1765037535,0
GSM,230,2,1145,12362,0,14.503,49.9693,7110,27,1,1319574862,1733843702,0
GSM,230,2,1144,22006,0,14.5759,49.9723,2790,27,1,1319574862,1739564582,0
GSM,230,2,1144,2007,0,14.5974,49.9809,2000,36,1,1319625056,1765204443,0
GSM,230,2,1144,2086,0,14.5935,49.9794,8413,30,1,1319625056,1765204443,0
GSM,230,2,1144,2008,0,14.5835,49.9786,17020,30,1,1319625056,1765204443,0
GSM,230,1,18218,773,0,14.5881,49.9932,1214,27,1,1319625056,1772098921,0
GSM,230,1,18218,522,0,14.5802,50.0006,1094,50,1,1319625056,1765037534,0
GSM,230,2,1144,2085,0,14.6068,49.9787,1062,27,1,1319625356,1739563261,0
GSM,230,2,1826,28933,0,15.5862,49.037,15383,7,1,1319728794,1761413729,0
GSM,230,2,1826,28935,0,15.5568,49.0165,6066,30,1,1319728794,1761413729,0
GSM,230,2,1826,8925,0,15.5738,49.0062,21230,38,1,1319728794,1761413729,0
GSM,230,2,1826,28934,0,15.5687,49.0061,1251,50,1,1319728794,1761413729,0
GSM,230,2,1829,8856,0,15.5518,49.4784,2141,27,1,1319882591,1740546721,0
GSM,230,2,1829,8843,0,15.6027,49.4475,1551,49,1,1319882591,1730389981,0
GSM,230,2,1829,8855,0,15.5705,49.4707,8462,27,1,1319882591,1739382841,0
GSM,230,2,1829,8871,0,15.7127,49.4173,4520,27,1,1319882591,1740546121,0
GSM,230,2,1829,18847,0,15.621,49.4468,1370,50,1,1319882591,1730176981,0
GSM,230,2,1829,18849,0,15.6039,49.4536,1854,27,1,1319882591,1731407462,0
GSM,230,2,1829,18845,0,15.7074,49.4134,5919,50,1,1319882591,1745873015,0
GSM,230,2,1829,8860,0,15.4822,49.4998,2874,27,1,1319882591,1739383142,0
GSM,230,1,24646,3119,0,16.4692,49.1842,5295,24,1,1319882937,1772104681,0
GSM,230,2,1835,9180,0,16.5856,49.161,11189,49,1,1319882937,1729577582,0
GSM,230,1,24646,3409,0,16.599,49.1605,1571,49,1,1319882937,1739378641,0
GSM,230,1,24646,3173,0,16.5396,49.168,2172,49,1,1319882937,1740745623,0
GSM,230,1,17240,27628,0,14.1889,50.1767,7480,39,1,1320847688,1734636023,0
GSM,230,1,17240,25753,0,14.2077,50.162,1413,50,1,1320847688,1734636024,0
GSM,230,1,16414,2032,0,14.2489,50.1236,9133,43,1,1320847688,1734636026,0
GSM,230,2,1182,2036,0,14.4173,50.1877,22317,27,1,1320847688,1740556322,0
GSM,230,1,17240,26882,0,14.0745,50.2112,1437,50,1,1320856995,1734636020,0
GSM,230,1,17240,26883,0,13.9635,50.2346,7356,27,1,1320856995,1734636013,0
GSM,230,1,17240,26881,0,14.0433,50.237,4635,50,1,1320856995,1734636019,0
GSM,230,1,17240,27899,0,14.0475,50.2374,9276,50,1,1320856995,1734636019,0
GSM,230,1,8280,25952,0,13.8291,50.1738,3973,50,1,1320881500,1742593928,0
GSM,230,1,17240,26675,0,13.8504,50.187,3627,50,1,1320881500,1742593928,0
GSM,230,1,8240,44368,0,12.8123,49.7511,1928,50,1,1322738961,1774649779,0
GSM,230,1,17250,25604,0,14.2401,50.0425,2714,27,1,1322738963,1775791141,0
GSM,230,1,17250,25443,0,14.2218,50.035,1795,23,1,1322738963,1775821801,0
GSM,230,1,17250,25605,0,14.2133,50.0316,1000,23,1,1322738963,1775821561,0
GSM,230,1,17250,1071,0,14.2504,50.046,1476,49,1,1322738963,1739439302,0
GSM,230,1,17250,1393,0,14.2776,50.048,1506,27,1,1322738963,1770960901,0
GSM,230,2,1154,1542,0,14.2843,50.0312,1595,30,1,1322738963,1732026616,0
GSM,230,1,8250,20975,0,13.5745,49.7487,3775,39,1,1322739692,1774649790,0
GSM,230,2,1717,7271,0,17.645,49.5684,2639,49,1,1323271634,1750068667,0
GSM,230,2,1830,18478,0,17.1712,49.5129,16238,49,1,1323271974,1732188122,0
GSM,230,2,1225,2521,0,15.0974,49.7257,8370,50,1,1324636445,1732026605,0
GSM,230,2,1225,2522,0,15.0816,49.7348,1615,50,1,1324636445,1732026605,0
GSM,230,2,1225,2520,0,15.0602,49.7432,3489,33,1,1324636445,1732026604,0
GSM,230,1,14438,27837,0,14.1122,50.8427,17421,49,1,1326285872,1774804448,0
GSM,230,2,1153,21618,0,14.326,50.0764,1548,37,1,1326553891,1734608290,0
GSM,230,1,16414,1121,0,14.4149,50.1075,2025,50,1,1326554486,1776494895,0
GSM,230,2,1153,11617,0,14.3677,50.0857,1466,46,1,1326554526,1734608292,0
GSM,230,2,1153,11609,0,14.3556,50.0823,1073,50,1,1326565297,1734608292,0
GSM,230,2,1153,1603,0,14.3763,50.0871,1122,30,1,1326565297,1734608292,0
GSM,230,2,1153,1554,0,14.3445,50.0772,906,33,1,1326565297,1734608291,0
GSM,230,2,1153,1697,0,14.3334,50.0743,3598,33,1,1326565297,1734608291,0
GSM,230,2,1154,21508,0,14.3267,50.0244,1715,44,1,1326565934,1734651364,0
GSM,230,2,1154,1541,0,14.3103,50.0279,3397,50,1,1326565934,1734651364,0
GSM,230,2,1153,11574,0,14.2716,50.0652,2241,46,1,1326571658,1734651366,0
GSM,230,2,1153,2047,0,14.2899,50.0799,5558,50,1,1326571658,1755165425,0
GSM,230,1,8260,29331,0,12.4201,50.1667,11635,50,1,1326880258,1756234263,0
GSM,230,2,1513,15801,0,13.8092,50.3797,16930,41,1,1328174987,1732026629,0
GSM,230,1,17240,20524,0,14.0742,50.2136,7704,32,1,1328192699,1734636020,0
GSM,230,2,1153,2048,0,14.2194,50.0782,4115,28,1,1328194327,1755165425,0
GSM,230,1,8260,28937,0,12.4014,50.0827,5583,50,1,1328782167,1730875001,0
GSM,230,1,17240,25803,0,13.7743,50.2305,44954,50,1,1329223408,1742593928,0
GSM,230,2,1221,2387,0,14.0013,50.0682,12762,29,1,1329234732,1742593931,0
GSM,230,1,8250,29281,0,13.8838,49.8618,5093,45,1,1329316795,1774649799,0
GSM,230,1,17240,25623,0,14.108,50.2108,1436,50,1,1329322320,1734636021,0
GSM,230,1,8260,20251,0,12.3887,50.086,5023,50,1,1329673731,1730875001,0
GSM,230,1,17240,20539,0,14.0964,50.1851,6002,35,1,1329998393,1734636020,0
GSM,230,1,17240,20537,0,14.1549,50.2051,17360,37,1,1329998393,1734636022,0
GSM,230,1,8260,28441,0,12.3449,50.0897,8728,50,1,1330157888,1732171191,0
GSM,230,1,13880,29397,0,15.6119,50.7332,2822,50,1,1330355337,1738489202,0
GSM,230,1,13880,27737,0,15.609,50.7268,6571,27,1,1330355337,1738488962,0
GSM,230,1,13880,27801,0,15.5957,50.7242,4083,50,1,1330355337,1751475361,0
GSM,230,1,14418,20612,0,13.6496,50.5046,10701,47,1,1330596725,1742593920,0
GSM,230,1,14418,20605,0,13.6438,50.504,2520,50,1,1330596725,1742593920,0
GSM,230,1,14418,20611,0,13.6464,50.5089,10895,50,1,1330596725,1742593920,0
GSM,230,2,1512,15733,0,13.8158,50.6507,5198,49,1,1330600510,1740560823,0
GSM,230,2,1153,21617,0,14.3327,50.0753,3584,48,1,1330758450,1734608291,0
GSM,230,2,1153,1620,0,14.3493,50.0802,948,50,1,1330758450,1734608291,0
GSM,230,2,1153,11614,0,14.3529,50.0814,974,47,1,1330759062,1734608291,0
GSM,230,1,17250,326,0,14.3437,50.0737,877,46,1,1330759534,1774649805,0
GSM,230,1,17250,2131,0,14.3479,50.0789,1036,50,1,1330759534,1774649805,0
GSM,230,1,17250,1707,0,14.3508,50.077,1289,31,1,1330759534,1774649806,0
GSM,230,1,17250,28,0,14.3549,50.0787,1488,32,1,1330759534,1774649806,0
GSM,230,1,17250,2670,0,14.3428,50.0748,924,50,1,1330759535,1774649805,0
GSM,230,1,21820,1728,0,14.4396,50.0361,8424,50,1,1330759535,1747605240,0
GSM,230,1,17250,29,0,14.315,50.0977,5311,32,1,1330759535,1734636026,0
GSM,230,2,1153,11615,0,14.3272,50.0753,3082,31,1,1330759535,1734608290,0
GSM,230,2,1153,21606,0,14.3154,50.0757,1430,50,1,1330759535,1734608290,0
GSM,230,2,1153,21620,0,14.3162,50.0774,7451,39,1,1330759535,1734348975,0
GSM,230,1,17250,53,0,14.2823,50.0673,1290,50,1,1330759535,1770959821,0
GSM,230,1,16414,2044,0,14.2961,50.0909,1000,27,1,1330759535,1770959942,0
GSM,230,2,1153,11627,0,14.2941,50.0827,2700,50,1,1330759667,1734651367,0
GSM,230,2,1153,11626,0,14.2872,50.0714,2058,50,1,1330759667,1734348974,0
GSM,230,2,1147,11637,0,14.3051,50.0761,6284,32,1,1330759667,1734608290,0
GSM,230,2,1153,11659,0,14.2944,50.0794,1721,50,1,1330760279,1734608289,0
GSM,230,2,1153,11552,0,14.2942,50.0838,1536,50,1,1330760279,1734651367,0
GSM,230,2,1153,11572,0,14.2879,50.0721,1461,46,1,1330760279,1734651366,0
GSM,230,1,16434,1969,0,14.4859,50.1556,3167,49,1,1330992531,1736367961,0
GSM,230,1,16464,567,0,14.5278,50.1105,1093,27,1,1330992829,1772794741,0
GSM,230,1,16434,1317,0,14.5279,50.1324,1778,27,1,1330993052,1776148801,0
GSM,230,1,16434,624,0,14.5024,50.1328,1183,24,1,1330993052,1776162541,0
GSM,230,1,21820,318,0,14.484,50.0434,980,50,1,1330993393,1765293962,0
GSM,230,1,18218,8102,0,14.5623,50.0058,1774,27,1,1330993752,1770908941,0
GSM,230,1,16464,568,0,14.5264,50.1145,924,26,1,1330993813,1765265341,0
GSM,230,1,16464,2052,0,14.5267,50.117,1411,28,1,1330993813,1773313861,0
GSM,230,1,21820,1782,0,14.5387,50.0728,767,27,1,1330993813,1775539981,0
GSM,230,1,21820,269,0,14.5222,50.0669,2666,27,1,1330993813,1769432641,0
